Municipios,Edad media de la población,Población,Porcentaje de hogares unipersonales,Porcentaje de población de 65 y más años,Porcentaje de población española,Porcentaje de población menor de 18 años,Tamaño medio del hogar,Media de la renta por unidad de consumo,Mediana de la renta por unidad de consumo,Renta bruta media por hogar,Renta bruta media por persona,Renta neta media por hogar,Renta neta media por persona,Distribución de la renta P80/P20,Índice de Gini
19255 Setiles,60.3,81.0,50.0,46.9,92.6,3.7,1.7,,,30394.0,17319.0,25758.0,14677.0,,
19256 Sienes,61.3,47.0,56.0,42.6,91.5,2.1,1.9,,,30610.0,17868.0,25903.0,15121.0,,
19257 Sigüenza,46.6,4444.0,43.4,23.6,80.9,14.2,2.2,18448.0,16450.0,33974.0,15475.0,28528.0,12994.0,2.8,31.4
19258 Solanillos del Extremo,56.6,86.0,57.1,37.2,95.4,1.2,1.8,,,32017.0,18385.0,27175.0,15605.0,,
19259 Somolinos,60.9,28.0,58.8,39.3,92.9,0.0,1.6,,,30610.0,17868.0,25903.0,15121.0,,
"19260 Sotillo, El",65.7,34.0,42.1,58.8,94.1,0.0,1.8,,,32017.0,18385.0,27175.0,15605.0,,
19261 Sotodosos,70.8,29.0,71.4,65.5,93.1,0.0,1.4,,,32017.0,18385.0,27175.0,15605.0,,
19262 Tamajón,59.8,149.0,64.4,47.7,94.0,3.4,1.7,22146.0,20650.0,32050.0,18532.0,27505.0,15904.0,2.7,31.0
19263 Taragudo,45.0,52.0,36.4,17.3,50.0,7.7,2.4,,,32017.0,18385.0,27175.0,15605.0,,
19264 Taravilla,53.2,42.0,50.0,28.6,85.7,4.8,1.9,,,30394.0,17319.0,25758.0,14677.0,,
19265 Tartanedo,56.7,159.0,57.7,44.7,84.9,5.0,2.0,18288.0,15050.0,31604.0,15402.0,27014.0,13165.0,3.1,33.1
19266 Tendilla,46.3,318.0,40.0,23.0,74.2,13.2,2.2,19210.0,17850.0,35459.0,16107.0,30232.0,13733.0,2.4,29.3
19267 Terzaga,54.6,19.0,50.0,31.6,100.0,10.5,1.9,,,30394.0,17319.0,25758.0,14677.0,,
19268 Tierzo,49.4,37.0,52.6,27.0,91.9,10.8,1.9,,,30394.0,17319.0,25758.0,14677.0,,
"19269 Toba, La",58.7,74.0,55.8,51.4,98.7,2.7,1.7,,,30610.0,17868.0,25903.0,15121.0,,
19270 Tordelrábano,55.5,16.0,77.8,43.8,100.0,6.3,1.8,,,30610.0,17868.0,25903.0,15121.0,,
19271 Tordellego,62.4,43.0,56.0,46.5,93.0,2.3,1.7,,,30394.0,17319.0,25758.0,14677.0,,
19272 Tordesilos,49.5,94.0,40.0,20.2,74.5,12.8,2.4,,,30394.0,17319.0,25758.0,14677.0,,
19274 Torija,37.0,1704.0,21.5,10.5,81.6,24.7,2.9,18785.0,17850.0,41405.0,13972.0,35026.0,11820.0,2.1,24.4
19277 Torrecuadrada de Molina,55.5,19.0,66.7,36.8,100.0,10.5,1.6,,,30394.0,17319.0,25758.0,14677.0,,
19278 Torrecuadradilla,63.6,29.0,57.9,44.8,100.0,0.0,1.5,,,32017.0,18385.0,27175.0,15605.0,,
19279 Torre del Burgo,40.1,247.0,33.3,8.5,21.9,6.5,2.8,9245.0,6650.0,27575.0,7388.0,23430.0,6277.0,4.2,44.2
19280 Torrejón del Rey,38.5,6194.0,21.0,10.5,85.6,22.4,2.8,19541.0,17850.0,42643.0,15210.0,35431.0,12638.0,2.1,26.3
19281 Torremocha de Jadraque,51.2,20.0,55.6,25.0,100.0,5.0,2.2,,,30610.0,17868.0,25903.0,15121.0,,
19282 Torremocha del Campo,56.6,193.0,42.9,43.0,85.5,5.7,2.0,20572.0,16450.0,34865.0,17709.0,29224.0,14844.0,3.0,40.5
19283 Torremocha del Pinar,55.9,35.0,69.6,42.9,82.9,5.7,1.5,,,30394.0,17319.0,25758.0,14677.0,,
19284 Torremochuela,62.8,6.0,100.0,33.3,100.0,0.0,1.0,,,30394.0,17319.0,25758.0,14677.0,,
19285 Torrubia,62.2,25.0,46.7,52.0,92.0,4.0,1.7,,,30394.0,17319.0,25758.0,14677.0,,
19286 Tórtola de Henares,37.8,1380.0,29.5,11.5,84.7,23.7,2.6,19652.0,18550.0,40509.0,15510.0,34001.0,13018.0,2.2,25.3
19287 Tortuera,47.9,170.0,31.9,28.2,84.7,14.1,2.4,16740.0,12950.0,30379.0,12531.0,25907.0,10687.0,3.2,38.7
19288 Tortuero,64.3,20.0,81.3,50.0,100.0,0.0,1.3,,,30610.0,17868.0,25903.0,15121.0,,
19289 Traíd,64.1,22.0,58.3,59.1,95.5,0.0,1.8,,,30394.0,17319.0,25758.0,14677.0,,
19290 Trijueque,42.9,1569.0,36.7,14.7,77.1,14.9,2.3,17025.0,16450.0,31935.0,13728.0,27411.0,11783.0,2.3,26.2
19291 Trillo,48.9,1333.0,41.0,25.1,93.1,9.5,2.2,29116.0,23450.0,55055.0,25266.0,44278.0,20320.0,2.9,35.4
19293 Uceda,41.7,3152.0,32.5,13.9,88.7,18.8,2.4,21127.0,18550.0,42002.0,17720.0,34544.0,14574.0,2.7,30.9
19294 Ujados,53.6,26.0,46.2,30.8,96.2,11.5,2.0,,,30610.0,17868.0,25903.0,15121.0,,
19296 Utande,56.6,33.0,41.2,30.3,93.9,6.1,1.9,,,32017.0,18385.0,27175.0,15605.0,,
19297 Valdarachas,50.6,46.0,33.3,23.9,97.8,15.2,3.1,,,34440.0,18760.0,28942.0,15765.0,,
19298 Valdearenas,51.9,86.0,63.0,23.3,70.9,2.3,1.6,,,32017.0,18385.0,27175.0,15605.0,,
19299 Valdeavellano,52.4,107.0,52.6,33.6,99.1,11.2,1.9,20830.0,19950.0,34071.0,18000.0,29251.0,15453.0,2.2,25.1
19300 Valdeaveruelo,41.5,1197.0,28.1,12.6,89.6,17.3,2.5,22789.0,20650.0,48068.0,19419.0,38692.0,15631.0,2.5,30.4
19301 Valdeconcha,54.0,47.0,69.0,34.0,93.6,6.4,1.6,,,34440.0,18760.0,28942.0,15765.0,,
19302 Valdegrudas,60.8,51.0,61.3,47.1,100.0,3.9,1.6,,,34440.0,18760.0,28942.0,15765.0,,
19303 Valdelcubo,62.9,38.0,41.2,50.0,100.0,2.6,2.2,,,30610.0,17868.0,25903.0,15121.0,,
19304 Valdenuño Fernández,43.8,335.0,38.7,16.1,94.9,14.3,2.2,19088.0,17850.0,36157.0,16130.0,30497.0,13605.0,2.7,27.7
19305 Valdepeñas de la Sierra,57.9,145.0,66.3,41.4,95.2,6.2,1.5,17125.0,15750.0,26003.0,16974.0,22333.0,14579.0,3.0,34.0
19306 Valderrebollo,53.0,33.0,81.8,30.3,90.9,9.1,1.5,,,32017.0,18385.0,27175.0,15605.0,,
19307 Valdesotos,54.1,29.0,82.6,34.5,96.6,3.5,1.3,,,30610.0,17868.0,25903.0,15121.0,,
19308 Valfermoso de Tajuña,52.6,85.0,71.2,30.6,84.7,14.1,1.6,,,34440.0,18760.0,28942.0,15765.0,,
19309 Valhermoso,52.4,23.0,66.7,34.8,100.0,4.4,1.9,,,30394.0,17319.0,25758.0,14677.0,,
19310 Valtablado del Río,67.6,8.0,85.7,75.0,100.0,0.0,1.1,,,34310.0,19843.0,29224.0,16902.0,,
19311 Valverde de los Arroyos,60.9,91.0,50.0,40.7,91.2,1.1,1.9,,,30610.0,17868.0,25903.0,15121.0,,
19314 Viana de Jadraque,56.5,39.0,54.6,41.0,100.0,0.0,1.8,,,30610.0,17868.0,25903.0,15121.0,,
19317 Villanueva de Alcorón,59.1,144.0,57.5,38.9,87.5,4.2,1.8,18695.0,15050.0,29431.0,16397.0,25553.0,14237.0,2.4,28.7
19318 Villanueva de Argecilla,46.7,34.0,42.9,38.2,97.1,26.5,2.4,,,32017.0,18385.0,27175.0,15605.0,,
19319 Villanueva de la Torre,38.4,6558.0,15.6,9.1,93.2,21.4,3.0,21696.0,20650.0,50798.0,16992.0,41679.0,13942.0,2.1,24.6
19321 Villares de Jadraque,63.7,50.0,68.8,62.0,80.0,4.0,1.6,,,30610.0,17868.0,25903.0,15121.0,,
19322 Villaseca de Henares,59.1,25.0,56.3,40.0,88.0,0.0,1.6,,,32017.0,18385.0,27175.0,15605.0,,
19323 Villaseca de Uceda,49.9,49.0,51.9,20.4,93.9,4.1,1.8,,,34440.0,18760.0,28942.0,15765.0,,
19324 Villel de Mesa,58.1,164.0,42.2,44.5,91.5,6.1,2.0,14549.0,14350.0,23196.0,11669.0,21193.0,10661.0,2.2,24.8
19325 Viñuelas,58.5,110.0,46.6,38.2,98.2,3.6,1.9,20669.0,20650.0,34994.0,18451.0,29636.0,15626.0,2.4,30.4
19326 Yebes,34.7,5133.0,24.5,6.8,81.1,24.5,2.7,20439.0,18550.0,43585.0,16156.0,35943.0,13324.0,2.1,26.6
19327 Yebra,49.0,496.0,40.4,27.0,85.7,10.7,2.3,18755.0,15750.0,36374.0,15867.0,30627.0,13360.0,2.4,33.7
19329 Yélamos de Abajo,55.4,59.0,63.9,37.3,93.2,13.6,1.6,,,32017.0,18385.0,27175.0,15605.0,,
19330 Yélamos de Arriba,54.5,85.0,45.2,36.5,91.8,5.9,2.0,,,32017.0,18385.0,27175.0,15605.0,,
19331 Yunquera de Henares,38.8,4388.0,26.4,12.9,81.7,21.8,2.7,17460.0,16450.0,36020.0,13428.0,30655.0,11428.0,2.2,26.9
"19332 Yunta, La",58.1,95.0,58.9,36.8,95.8,4.2,1.7,,,30394.0,17319.0,25758.0,14677.0,,
19333 Zaorejas,62.2,116.0,62.3,48.3,94.0,1.7,1.7,20719.0,19250.0,32491.0,19326.0,27313.0,16247.0,2.7,30.0
19334 Zarzuela de Jadraque,60.6,60.0,67.5,46.7,98.3,0.0,1.5,,,30610.0,17868.0,25903.0,15121.0,,
19335 Zorita de los Canes,55.7,59.0,58.6,37.3,81.4,8.5,2.0,,,34440.0,18760.0,28942.0,15765.0,,
19901 Semillas,66.1,29.0,72.7,51.7,100.0,0.0,1.3,,,30610.0,17868.0,25903.0,15121.0,,
20001 Abaltzisketa,44.3,291.0,29.5,18.6,96.9,16.2,2.8,28504.0,26950.0,61587.0,22222.0,51718.0,18661.0,1.8,22.3
20002 Aduna,39.7,505.0,26.1,14.9,96.6,24.4,2.8,27512.0,26250.0,59925.0,21359.0,49640.0,17693.0,1.9,21.4
20003 Aizarnazabal,41.3,771.0,29.5,18.3,93.8,22.3,2.5,24634.0,24150.0,49164.0,19258.0,41396.0,16215.0,2.1,25.5
20004 Albiztur,41.6,325.0,31.7,19.7,96.9,24.6,2.7,27347.0,24850.0,55967.0,20665.0,47033.0,17366.0,2.0,24.0
20005 Alegia,43.9,1768.0,31.6,20.6,87.2,18.2,2.5,22856.0,22050.0,44813.0,18224.0,38209.0,15539.0,2.6,29.2
20006 Alkiza,39.8,359.0,28.3,16.7,96.7,25.9,2.6,24715.0,23450.0,48274.0,18557.0,41192.0,15834.0,2.1,23.9
20007 Altzo,41.8,447.0,31.4,17.7,97.3,20.1,2.5,27668.0,26950.0,56357.0,22064.0,46726.0,18293.0,1.8,22.2
20008 Amezketa,45.0,937.0,31.3,22.1,95.1,17.5,2.5,26239.0,24850.0,52957.0,21138.0,44520.0,17770.0,2.3,26.2
20009 Andoain,45.6,14501.0,31.6,24.0,93.0,17.2,2.3,23724.0,22750.0,44844.0,19288.0,38154.0,16410.0,2.2,26.4
20010 Anoeta,42.0,2092.0,30.9,19.3,91.9,19.9,2.4,23842.0,24150.0,46255.0,19126.0,39151.0,16188.0,2.3,25.4
20011 Antzuola,44.3,2082.0,40.8,21.6,94.6,19.3,2.1,28104.0,26950.0,50284.0,23596.0,42154.0,19781.0,2.5,28.9
20012 Arama,44.9,189.0,22.2,19.6,90.0,18.5,2.6,32760.0,30450.0,70410.0,26823.0,57022.0,21723.0,2.7,32.6
20013 Aretxabaleta,44.6,7137.0,33.8,22.2,93.9,18.1,2.3,27752.0,26950.0,52022.0,22465.0,44221.0,19096.0,2.0,24.8
20014 Asteasu,42.2,1544.0,36.2,17.9,94.1,19.0,2.4,24573.0,24150.0,47971.0,20071.0,40232.0,16833.0,2.4,28.8
20015 Ataun,43.9,1690.0,27.9,22.7,93.3,21.0,2.6,27006.0,26250.0,55565.0,21338.0,46462.0,17843.0,2.2,25.9
20016 Aia,41.6,2121.0,30.5,17.5,93.6,21.5,2.7,24982.0,24150.0,52414.0,19424.0,44054.0,16326.0,2.2,26.2
20017 Azkoitia,43.2,11550.0,30.8,20.1,90.0,19.6,2.5,26106.0,24150.0,52216.0,21026.0,43943.0,17695.0,2.3,28.1
20018 Azpeitia,43.3,14993.0,29.9,21.3,91.8,18.9,2.5,26234.0,24150.0,52925.0,20912.0,44501.0,17583.0,2.2,26.7
20019 Beasain,43.7,13880.0,31.2,21.5,85.7,18.8,2.4,26333.0,24150.0,51811.0,21631.0,43322.0,18087.0,2.5,29.1
20020 Beizama,46.3,133.0,44.8,21.1,97.0,15.0,2.0,22823.0,20650.0,42016.0,21166.0,33995.0,17125.0,3.6,36.0
20021 Belauntza,43.1,286.0,33.9,24.5,90.9,21.0,2.5,32831.0,23450.0,61331.0,24661.0,50752.0,20407.0,2.9,44.2
20022 Berastegi,44.2,1082.0,30.8,21.4,97.9,17.7,2.5,29492.0,26950.0,59643.0,23978.0,49405.0,19863.0,1.8,21.5
20023 Berrobi,43.2,582.0,35.4,19.6,92.6,18.9,2.3,24287.0,22750.0,45528.0,19869.0,38043.0,16603.0,2.4,27.3
20024 Bidania-Goiatz,42.4,526.0,30.5,17.5,96.6,18.8,2.5,25125.0,23450.0,49408.0,20008.0,42037.0,17023.0,2.1,27.2
20025 Zegama,43.0,1540.0,33.1,21.1,91.5,21.6,2.4,26623.0,25550.0,51504.0,21137.0,43612.0,17898.0,2.2,26.1
20026 Zerain,46.7,282.0,41.9,28.4,95.7,18.1,2.3,29343.0,29050.0,55070.0,24215.0,46191.0,20311.0,2.5,29.3
20027 Zestoa,42.7,3753.0,31.5,18.9,91.2,20.2,2.5,23798.0,23450.0,47183.0,18858.0,40129.0,16039.0,2.2,25.5
20028 Zizurkil,43.5,2916.0,29.7,21.7,92.0,18.5,2.5,26049.0,24150.0,51320.0,20838.0,43143.0,17518.0,2.3,27.4
20029 Deba,46.4,5380.0,38.8,25.7,94.2,14.9,2.2,26786.0,24850.0,49761.0,22393.0,41516.0,18682.0,2.4,28.3
20030 Eibar,46.0,26976.0,33.8,25.4,89.5,16.6,2.3,24886.0,23450.0,47012.0,20613.0,39666.0,17392.0,2.6,30.3
20031 Elduain,41.5,237.0,35.2,15.2,97.1,21.5,2.3,25698.0,24150.0,49187.0,21792.0,40139.0,17783.0,2.4,27.9
20032 Elgoibar,44.9,11436.0,31.8,23.3,89.9,18.0,2.4,26490.0,24150.0,51484.0,21758.0,43110.0,18219.0,2.4,29.4
20033 Elgeta,43.8,1107.0,33.1,19.7,94.3,19.1,2.3,26221.0,24850.0,50010.0,21549.0,41911.0,18059.0,2.2,25.7
20034 Eskoriatza,45.4,4175.0,31.7,22.4,91.5,16.5,2.4,26606.0,25550.0,50500.0,21228.0,43388.0,18239.0,2.1,24.0
20035 Ezkio-Itsaso,46.8,604.0,31.8,24.7,92.2,15.1,2.4,27633.0,25550.0,54160.0,22866.0,45238.0,19099.0,2.2,25.5
20036 Hondarribia,45.9,16688.0,32.4,24.4,94.2,15.9,2.4,32540.0,25550.0,65230.0,27412.0,52847.0,22209.0,2.5,31.7
20037 Gaintza,45.6,124.0,48.3,21.0,96.8,14.5,2.1,28072.0,24500.0,51347.0,24845.0,42263.0,20450.0,2.5,25.6
20038 Gabiria,44.8,504.0,26.0,21.8,93.3,14.5,2.7,30012.0,30450.0,64644.0,23728.0,53925.0,19794.0,2.1,23.6
20039 Getaria,43.2,2870.0,34.1,19.4,90.4,17.2,2.4,26990.0,24850.0,53015.0,22351.0,43788.0,18461.0,2.2,28.3
20040 Hernani,44.6,20345.0,34.2,21.2,91.7,16.4,2.3,23789.0,22050.0,44800.0,19605.0,37941.0,16603.0,2.5,28.3
20041 Hernialde,46.6,312.0,30.3,25.3,93.6,12.2,2.4,24381.0,23800.0,47422.0,20063.0,40227.0,17019.0,2.6,28.9
20042 Ibarra,45.2,4102.0,32.8,25.4,91.0,17.4,2.3,23448.0,22750.0,44519.0,18993.0,38025.0,16222.0,2.2,26.0
20043 Idiazabal,43.6,2246.0,30.6,23.3,93.0,20.0,2.5,29499.0,28350.0,58911.0,23685.0,49085.0,19735.0,2.3,26.4
20044 Ikaztegieta,43.1,486.0,38.4,20.8,86.6,17.7,2.3,21265.0,20650.0,39279.0,17053.0,33963.0,14745.0,3.0,30.1
20045 Irun,45.2,62224.0,28.4,22.8,88.7,15.9,2.5,22851.0,20650.0,45482.0,18543.0,38450.0,15676.0,2.5,30.3
20046 Irura,38.0,1888.0,30.9,10.4,89.8,24.8,2.5,25640.0,24850.0,52208.0,20601.0,43523.0,17174.0,2.2,26.5
20047 Itsasondo,42.0,654.0,28.4,17.9,85.9,21.7,2.6,22528.0,22050.0,45916.0,17833.0,39053.0,15167.0,2.5,29.4
20048 Larraul,40.5,257.0,24.2,12.8,93.8,22.6,2.8,24160.0,24850.0,53588.0,18975.0,44366.0,15710.0,2.6,30.6
20049 Lazkao,42.0,5952.0,30.2,18.4,87.2,20.0,2.5,26652.0,24850.0,52898.0,21507.0,44492.0,18090.0,2.3,27.4
20050 Leaburu,44.8,392.0,38.5,20.9,87.0,18.6,2.3,23501.0,22750.0,44223.0,19630.0,37879.0,16814.0,2.4,27.4
20051 Legazpi,47.0,8329.0,32.9,26.9,92.9,15.9,2.3,25626.0,24850.0,48048.0,20987.0,40751.0,17800.0,2.3,26.2
20052 Legorreta,44.3,1449.0,35.3,21.8,86.7,18.4,2.4,24690.0,23450.0,47478.0,20217.0,40296.0,17159.0,2.3,26.4
20053 Lezo,44.6,5993.0,32.8,20.8,95.0,16.0,2.3,23243.0,22750.0,43653.0,18829.0,37280.0,16080.0,2.2,25.2
20054 Lizartza,44.5,618.0,40.0,22.7,92.1,17.3,2.3,23793.0,23450.0,44021.0,19589.0,37350.0,16620.0,2.2,25.7
20055 Arrasate/Mondragón,46.6,21525.0,32.1,25.9,90.9,15.5,2.3,26046.0,24850.0,48916.0,21223.0,41921.0,18188.0,2.2,27.2
20056 Mutriku,44.6,5259.0,31.6,21.8,92.6,17.3,2.4,24423.0,22750.0,47441.0,19684.0,40225.0,16690.0,2.2,25.0
20057 Mutiloa,42.8,262.0,37.4,19.5,97.3,20.2,2.5,28632.0,27650.0,55681.0,22740.0,47216.0,19283.0,1.8,21.8
20058 Olaberria,48.0,916.0,37.6,25.2,88.8,13.9,2.2,26111.0,24850.0,48074.0,22043.0,40467.0,18555.0,2.6,28.7
20059 Oñati,44.7,11350.0,33.9,23.8,94.0,18.8,2.4,29791.0,28350.0,57169.0,24268.0,48122.0,20428.0,2.1,24.4
20060 Orexa,43.9,109.0,42.9,20.2,97.3,21.1,2.2,22949.0,21350.0,42318.0,19024.0,35972.0,16171.0,1.8,21.5
20061 Orio,42.5,6072.0,29.3,18.0,91.7,19.4,2.5,26400.0,24150.0,52975.0,21445.0,44196.0,17891.0,2.3,26.9
20062 Ormaiztegi,43.6,1226.0,33.7,23.2,92.6,19.9,2.3,25289.0,24150.0,47994.0,20669.0,40582.0,17477.0,2.4,29.2
20063 Oiartzun,44.4,10224.0,26.3,21.6,95.9,17.3,2.6,26903.0,24850.0,54830.0,21441.0,45824.0,17919.0,2.1,25.5
20064 Pasaia,45.8,15971.0,32.8,22.5,89.5,15.0,2.3,21628.0,20650.0,40149.0,17487.0,34592.0,15066.0,2.4,27.3
20065 Soraluze-Placencia de las Armas,45.9,3715.0,34.0,24.3,87.1,16.1,2.3,22199.0,21350.0,41176.0,18244.0,35206.0,15599.0,2.7,30.6
20066 Errezil,43.3,583.0,33.5,18.4,94.5,18.7,2.6,23486.0,22750.0,46737.0,17717.0,40154.0,15221.0,2.4,28.8
20067 Errenteria,46.1,38987.0,30.9,24.0,91.5,15.6,2.3,22085.0,21350.0,41501.0,17828.0,35711.0,15341.0,2.3,26.2
20068 Leintz-Gatzaga,50.1,194.0,36.8,27.3,95.9,12.9,2.2,29784.0,28350.0,55477.0,24879.0,47020.0,21086.0,2.0,26.4
20069 Donostia/San Sebastián,46.5,184936.0,32.5,25.3,91.2,14.4,2.3,30314.0,25550.0,60091.0,25791.0,48821.0,20954.0,2.6,32.4
20070 Segura,42.1,1445.0,35.6,20.1,92.5,22.0,2.4,27331.0,26250.0,52467.0,21931.0,44134.0,18448.0,2.4,27.8
20071 Tolosa,44.3,19873.0,32.9,22.5,90.6,17.4,2.4,28117.0,25550.0,54843.0,23068.0,45703.0,19224.0,2.3,28.6
20072 Urnieta,43.8,6184.0,26.9,18.9,93.3,16.3,2.5,25450.0,23450.0,51082.0,20510.0,43080.0,17298.0,2.1,26.0
20073 Usurbil,43.5,6315.0,32.5,19.9,93.7,18.5,2.4,25331.0,24150.0,48925.0,20422.0,41310.0,17244.0,2.2,25.9
20074 Bergara,46.2,14396.0,31.0,24.6,92.4,15.9,2.4,27930.0,26250.0,53967.0,22864.0,45303.0,19193.0,2.2,26.8
20075 Villabona,44.6,5812.0,30.6,22.2,88.7,17.2,2.4,23886.0,22750.0,46874.0,19308.0,39726.0,16363.0,2.4,28.3
20076 Ordizia,42.3,10517.0,30.5,19.7,79.8,19.3,2.5,25318.0,24150.0,50943.0,20475.0,42811.0,17207.0,2.5,30.4
20077 Urretxu,45.5,6722.0,30.5,22.8,93.1,16.0,2.4,26210.0,24850.0,51682.0,21674.0,43127.0,18086.0,2.2,26.3
20078 Zaldibia,41.6,1723.0,34.7,20.9,82.9,21.8,2.5,25651.0,24850.0,51022.0,20136.0,43139.0,17025.0,2.5,29.5
20079 Zarautz,44.6,23057.0,32.0,22.2,94.0,16.4,2.4,28126.0,25550.0,55993.0,23318.0,46091.0,19194.0,2.4,29.4
20080 Zumarraga,46.4,9608.0,38.9,24.7,91.6,15.9,2.1,22956.0,22750.0,40419.0,19318.0,34530.0,16503.0,2.7,29.8
20081 Zumaia,43.2,10152.0,26.2,20.5,94.3,19.0,2.6,27733.0,24850.0,57974.0,22545.0,47976.0,18657.0,2.0,25.0
20901 Mendaro,42.0,2008.0,26.3,17.7,89.8,21.2,2.6,24634.0,23800.0,50584.0,19523.0,42377.0,16356.0,2.3,28.3
20902 Lasarte-Oria,45.7,18989.0,29.8,24.4,91.0,16.0,2.4,23825.0,22750.0,45521.0,19329.0,38825.0,16486.0,2.2,27.0
20903 Astigarraga,38.7,7661.0,29.2,12.6,94.8,22.6,2.5,26781.0,24850.0,52901.0,21517.0,43998.0,17896.0,2.1,25.0
20904 Baliarrain,34.7,149.0,20.8,10.1,96.0,30.2,3.1,27805.0,24850.0,65711.0,21169.0,53756.0,17317.0,1.9,23.1
20905 Orendain,38.5,240.0,23.8,13.3,95.4,24.6,2.9,32005.0,29050.0,69766.0,24418.0,57179.0,20013.0,2.1,32.6
20906 Altzaga,42.2,173.0,24.6,19.7,95.4,23.7,2.8,25917.0,24150.0,56314.0,19856.0,47580.0,16777.0,2.5,27.9
20907 Gaztelu,41.1,170.0,38.4,19.4,97.7,23.5,2.3,22149.0,21700.0,40672.0,17465.0,34933.0,15001.0,2.7,28.5
21001 Alájar,45.0,783.0,40.6,20.4,93.5,12.4,2.2,13917.0,12250.0,25500.0,11297.0,22193.0,9832.0,2.9,32.6
21002 Aljaraque,39.0,22288.0,16.2,12.0,97.0,22.2,2.9,22099.0,19250.0,51411.0,17465.0,41388.0,14060.0,2.5,29.3
"21003 Almendro, El",45.7,849.0,35.9,21.7,94.5,14.6,2.2,15578.0,14350.0,27290.0,12413.0,23886.0,10865.0,2.0,23.7
21004 Almonaster la Real,48.1,1786.0,43.3,25.3,97.5,10.8,2.1,17616.0,15750.0,30839.0,14724.0,25944.0,12386.0,2.5,29.0
21005 Almonte,40.6,24563.0,27.7,13.8,80.3,17.9,2.6,14651.0,13650.0,29556.0,11083.0,25850.0,9693.0,2.2,27.4
21006 Alosno,46.2,3973.0,32.7,23.5,94.8,14.8,2.3,15145.0,14350.0,27312.0,11775.0,24109.0,10394.0,2.1,25.6
21007 Aracena,41.7,8230.0,30.1,17.0,95.8,19.3,2.4,16835.0,15050.0,32620.0,13303.0,27706.0,11299.0,2.4,29.5
21008 Aroche,45.3,3033.0,32.0,21.3,97.3,14.7,2.3,13632.0,12950.0,24006.0,10623.0,21546.0,9535.0,2.0,23.9
21009 Arroyomolinos de León,47.4,950.0,37.6,25.5,99.3,13.1,2.2,12271.0,10850.0,21137.0,9575.0,19146.0,8673.0,2.3,27.5
21010 Ayamonte,42.8,21613.0,26.8,17.9,86.4,17.3,2.5,15823.0,14350.0,31559.0,12224.0,27141.0,10513.0,2.4,29.8
21011 Beas,44.2,4316.0,29.3,21.6,94.8,16.9,2.5,16833.0,15050.0,32711.0,13193.0,28185.0,11367.0,2.4,29.1
21012 Berrocal,54.1,295.0,39.2,35.9,97.3,5.1,2.1,19865.0,19950.0,33974.0,16405.0,29197.0,14098.0,2.1,24.9
21013 Bollullos Par del Condado,42.3,14347.0,20.2,17.9,89.4,18.1,2.8,15818.0,13650.0,33150.0,11932.0,28769.0,10355.0,2.2,28.0
21014 Bonares,41.9,5851.0,19.8,16.8,86.9,18.5,2.9,16427.0,14350.0,35716.0,12313.0,30499.0,10515.0,2.1,26.8
21015 Cabezas Rubias,48.5,706.0,43.1,26.5,98.3,9.4,2.0,15000.0,13650.0,25134.0,12335.0,22294.0,10941.0,2.1,24.8
21016 Cala,46.5,1143.0,31.4,21.5,97.1,13.4,2.3,14465.0,12950.0,26376.0,11599.0,23133.0,10173.0,2.5,27.8
21017 Calañas,44.8,2754.0,32.2,22.6,98.6,16.6,2.3,16985.0,15750.0,31901.0,13727.0,27184.0,11697.0,2.5,28.3
"21018 Campillo, El",46.5,1991.0,32.1,24.3,98.2,14.8,2.3,17356.0,16450.0,31321.0,13904.0,27060.0,12013.0,2.1,23.8
21019 Campofrío,45.4,750.0,33.5,23.7,94.4,14.5,2.4,16303.0,15050.0,31105.0,13097.0,26697.0,11241.0,2.3,28.2
21020 Cañaveral de León,48.3,383.0,42.6,26.4,98.4,11.2,2.0,13344.0,12250.0,21479.0,10570.0,19653.0,9671.0,2.1,26.0
21021 Cartaya,39.1,20997.0,24.8,12.7,77.8,19.9,2.7,15898.0,13650.0,33857.0,12215.0,28906.0,10429.0,2.4,30.0
21022 Castaño del Robledo,49.7,222.0,51.3,21.6,88.3,4.5,1.9,16680.0,14350.0,27923.0,14546.0,23609.0,12299.0,2.9,34.1
"21023 Cerro de Andévalo, El",48.1,2281.0,32.0,27.4,97.7,13.7,2.3,16057.0,14350.0,29561.0,12623.0,25665.0,10959.0,2.3,26.2
21024 Corteconcepción,47.4,546.0,41.4,24.2,95.4,11.0,2.1,15194.0,14000.0,27244.0,12233.0,23891.0,10728.0,2.2,27.6
21025 Cortegana,45.2,4623.0,32.0,22.5,96.8,15.0,2.3,16107.0,14350.0,29783.0,12791.0,25688.0,11032.0,2.5,29.3
21026 Cortelazor,48.0,301.0,52.5,24.6,95.4,13.0,1.9,14609.0,12250.0,23467.0,12330.0,20614.0,10831.0,2.5,30.7
21027 Cumbres de Enmedio,48.4,63.0,54.3,20.6,96.8,7.9,1.8,,,,,,,,
21028 Cumbres de San Bartolomé,53.4,365.0,46.6,32.3,98.9,5.8,1.9,15961.0,14350.0,25195.0,13257.0,22322.0,11745.0,2.3,27.0
21029 Cumbres Mayores,47.0,1691.0,36.7,24.2,97.9,14.0,2.2,15548.0,13650.0,26576.0,12089.0,23421.0,10653.0,2.2,27.0
